Re,sigma,Kc
50000,0.02155526,0.401919681
50000,0.068928586,0.383144629
50000,0.118690708,0.358375819
50000,0.168573612,0.339831296
50000,0.220509807,0.316012782
50000,0.265803001,0.303615321
50000,0.316531378,0.292531775
50000,0.35974444,0.282258429
50000,0.403896916,0.245183642
50000,0.453920732,0.229409033
50000,0.505823377,0.207455293
50000,0.547345493,0.195560465
50000,0.596946572,0.165829337
50000,0.642038463,0.14465393
50000,0.692238419,0.125777873
50000,0.734195014,0.10829212
50000,0.781964236,0.094709914
50000,0.831062058,0.072388651
50000,0.884689199,0.052423267
50000,0.943872306,0.027012778
50000,0.98656869,0.016318128
10000,0.018502163,0.494671001
10000,0.062361073,0.473633043
10000,0.11361787,0.453372832
10000,0.177028341,0.428847484
10000,0.216483745,0.411663696
10000,0.269184893,0.390096151
10000,0.316531378,0.372427384
10000,0.365674493,0.353868024
10000,0.409004982,0.335854693
10000,0.456034414,0.317641951
10000,0.500844481,0.300795823
10000,0.545337495,0.281927673
10000,0.595067744,0.26323442
10000,0.640629341,0.24410288
10000,0.69276684,0.224789177
10000,0.740324693,0.206682901
10000,0.786238572,0.188739655
10000,0.835289423,0.164733297
10000,0.882998253,0.14630248
10000,0.93372663,0.123263055
10000,0.980227643,0.104343247
5000,0.022494674,0.513504297
5000,0.072612432,0.49177968
5000,0.116154289,0.474455552
5000,0.164346247,0.45264041
5000,0.210847259,0.435590591
5000,0.256878564,0.417011021
5000,0.301735601,0.398629277
5000,0.350350296,0.382392854
5000,0.397274044,0.360132302
5000,0.437539694,0.343299526
5000,0.491967015,0.320248789
5000,0.537763466,0.302570733
5000,0.587505458,0.284365677
5000,0.634992855,0.264434012
5000,0.684312111,0.244357237
5000,0.730813123,0.222891823
5000,0.777314135,0.20591264
5000,0.823815147,0.187372622
5000,0.875811733,0.166478548
5000,0.922312746,0.148055431
5000,0.968813758,0.13006703
5000,0.995023419,0.116840308
3000,0.017327895,0.533237517
3000,0.067962331,0.513641955
3000,0.112678456,0.489928535
3000,0.159696146,0.469144679
3000,0.206197158,0.450417744
3000,0.250478804,0.435147365
3000,0.300467392,0.412005121
3000,0.346122931,0.39446747
3000,0.392623943,0.37812944
3000,0.433840749,0.35950531
3000,0.484780495,0.34176763
3000,0.538996447,0.315775864
3000,0.590253245,0.292377551
3000,0.631470051,0.281156077
3000,0.68558032,0.256887355
3000,0.726585758,0.241073625
3000,0.777783842,0.221139507
3000,0.823815147,0.203452254
3000,0.875811733,0.184166144
3000,0.922453658,0.162159516
3000,0.967545548,0.142006628
3000,0.997137102,0.129696483
