Re,sigma,Ke
50000,0.019770373,0.955766755
50000,0.062285584,0.886939042
50000,0.097647825,0.814923305
50000,0.12992342,0.765401982
50000,0.170687294,0.69323601
50000,0.215074624,0.621246431
50000,0.257348271,0.560081674
50000,0.299621919,0.502506647
50000,0.346122931,0.427478815
50000,0.392623943,0.373499999
50000,0.439124955,0.322476795
50000,0.486095675,0.268688106
50000,0.53212698,0.215141397
50000,0.576279456,0.188216805
50000,0.625129004,0.148834566
50000,0.671630016,0.113833893
50000,0.722358393,0.083402752
50000,0.766510869,0.055175357
50000,0.813669472,0.038563001
50000,0.861015957,0.017815379
50000,0.908362442,0.005040133
50000,0.954863454,0.002706755
50000,0.990091494,0.009901338
10000,0.016388481,0.964016913
10000,0.054434764,0.886671969
10000,0.091541632,0.815892183
10000,0.129998908,0.746065134
10000,0.162655301,0.682403535
10000,0.206197158,0.607890249
10000,0.253120907,0.531508594
10000,0.294337713,0.462338513
10000,0.330481681,0.403197098
10000,0.375714484,0.355051248
10000,0.420101814,0.298489318
10000,0.453920732,0.254675144
10000,0.505823377,0.196567335
10000,0.543752233,0.156124319
10000,0.594933542,0.107440528
10000,0.641615727,0.071919012
10000,0.684312111,0.039460372
10000,0.736919316,0.005782894
10000,0.785768864,-0.022182612
10000,0.832692613,-0.045909673
10000,0.878770889,-0.063682237
10000,0.925271901,-0.078557523
10000,0.97219565,-0.084631838
10000,0.997137102,-0.086919137
5000,0.016388481,0.964016913
5000,0.054434764,0.886671969
5000,0.091541632,0.815892183
5000,0.129998908,0.746065134
5000,0.162655301,0.682403535
5000,0.206197158,0.607890249
5000,0.253120907,0.531508594
5000,0.294337713,0.462338513
5000,0.330481681,0.403197098
5000,0.375714484,0.351835322
5000,0.420101814,0.293665428
5000,0.453920732,0.249851254
5000,0.505823377,0.193351409
5000,0.543752233,0.152908393
5000,0.594933542,0.102616639
5000,0.641615727,0.063879196
5000,0.684312111,0.033028519
5000,0.736919316,-0.005472849
5000,0.785768864,-0.033438355
5000,0.832692613,-0.057165416
5000,0.878770889,-0.078153906
5000,0.925271901,-0.093029192
5000,0.97219565,-0.097495544
5000,0.997137102,-0.09817488
3000,0.016388481,0.964016913
3000,0.054434764,0.886671969
3000,0.091541632,0.815892183
3000,0.129998908,0.746065134
3000,0.162655301,0.682403535
3000,0.206197158,0.607890249
3000,0.253120907,0.531508594
3000,0.294337713,0.462338513
3000,0.330481681,0.403197098
3000,0.375714484,0.347011432
3000,0.420101814,0.290449502
3000,0.453920732,0.243419401
3000,0.505823377,0.185311593
3000,0.543752233,0.143260613
3000,0.594933542,0.089752933
3000,0.641615727,0.047799563
3000,0.684312111,0.015340923
3000,0.736919316,-0.019944518
3000,0.785768864,-0.049517988
3000,0.832692613,-0.074853011
3000,0.878770889,-0.095841502
3000,0.925271901,-0.110716788
3000,0.97219565,-0.120007029
3000,0.997137102,-0.122294329
